t_s,T_die,T_pkg,T_hs,freq_GHz,power_W,proj_perf,variant,T_little,workload_big
35.0,58.193553147519324,36.79441377121092,30.257284151239457,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
40.0,59.256979082105026,37.78555787472383,31.12392807778612,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
45.0,60.25822818797902,38.73348353699508,31.97312996323047,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
50.0,61.212201500243275,39.64550972456992,32.8022869865967,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
55.0,62.1279150537117,40.52623680361933,33.61015609937158,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
60.0,63.010947898937644,41.378657304649614,34.39628357475297,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
65.0,63.864861989885334,42.204811733574736,35.16067038521592,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
70.0,64.69203048378502,43.00617423177515,35.903576236924216,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
75.0,65.49412223625023,43.783879046352304,36.62540495301271,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
80.0,66.27238560072003,44.538853504220455,37.326637536907086,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
85.0,67.0278148393117,45.27189615032198,38.00779316800053,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
90.0,67.76124781021564,45.983722742153006,38.66940655563534,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
95.0,68.47342340413599,46.67499340503303,39.31201487010354,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
100.0,69.16501539956576,47.34632874470474,39.93615027810338,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
105.0,69.83665249953035,47.998319485249745,40.54233575568023,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
110.0,70.48893026808636,48.631532308494826,41.131082815703586,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
115.0,71.1224183162183,49.24651346275778,41.702890351646765,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
120.0,71.73766469939288,49.84379105951145,42.258244130232576,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
125.0,72.33519867636106,50.42387659620364,42.79761665927733,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
130.0,72.91553250276164,50.987266020671406,43.32146727056658,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
135.0,73.4791626542262,51.53444052207198,43.830242324077844,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
140.0,74.02657071033876,52.06586715679602,44.324375478804704,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
145.0,74.55822403511151,52.58199937303797,44.804287998243076,3.3,4.5,3.2702999999999998,3node_policy,25.0,1.0
150.0,75.07457633358436,53.08327747145774,45.27038907195573,3.3,4.5,2.48458,3node_policy,25.0,0.6
155.0,69.69266249078954,53.0212795020823,45.68896170836775,3.3,3.0439999999999996,2.48458,3node_policy,26.001183949977325,0.6
160.0,67.53978504064175,52.646346860246766,45.98482921750977,3.3,3.0439999999999996,2.48458,3node_policy,26.75954587919588,0.6
165.0,66.53683264452198,52.3412692423988,46.172519285083276,3.3,3.0439999999999996,2.48458,3node_policy,27.333978595282783,0.6
