
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005000                       # Number of seconds simulated (Second)
system.bigCluster.cpus.statFuBusy::SimdSha256Hash2            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdShaSigma2            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdShaSigma3            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdSha3            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdSm4e            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdCrc            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdPredAlu            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdDotProd            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::Matrix            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::MatrixMov            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::MatrixOP            0      0.00%     53.48% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::MemRead       428046     23.67%     77.15% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::MemWrite       412803     22.82%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatMemRead            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatMemWrite            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::InstPrefetch            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdUnitStrideLoad            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdUnitStrideStore            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdUnitStrideMaskLoad            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdUnitStrideMaskStore            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdStridedLoad            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdStridedStore            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdIndexedLoad            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdIndexedStore            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdWholeRegisterLoad            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdWholeRegisterStore            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdUnitStrideSegmentedLoad            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdUnitStrideSegmentedStore            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdStrideSegmentedLoad            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdStrideSegmentedStore            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdExt            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatExt            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdConfig            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdBf16Add            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdBf16Cmp            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdBf16Cvt            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdBf16DotProd            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdBf16MatMultAcc            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdBf16Mult            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdBf16MultAcc            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::Bf16Cvt            0      0.00%     99.97% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::System          463      0.03%    100.00% # attempts to use FU when none available (Count)
system.bigCluster.cpus.issuedInstType_0::No_OpClass         3874      0.05%      0.05% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::IntAlu      4982606     68.00%     68.05% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::IntMult        15721      0.21%     68.27% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::IntDiv          943      0.01%     68.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::FloatAdd            0      0.00%     68.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::FloatCmp            0      0.00%     68.28% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issuedInstType_0::FloatCvt            0      0.00%     68.28% # Number of instructions issued per FU type, per thread (Count)
